日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260102,农业,10.5,观察,000816,智慧农业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,000860,顺鑫农业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,001313,粤海饲料,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,002041,登海种业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,002321,华英农业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,300189,神农种业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,600313,农发种业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,600354,敦煌种业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,601288,农业银行,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,920087,秋乐种业,农业|种业|养殖|猪肉
20260102,农业,10.5,观察,920403,康农种业,农业|种业|养殖|猪肉
20260102,消费,9.2,观察,000921,海信家电,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,000978,桂林旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,002059,云南旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,002627,三峡旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,002707,众信旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,300859,西域旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,600054,黄山旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,600749,西藏旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,603199,九华旅游,消费|白酒|食品饮料|家电
20260102,消费,9.2,观察,603402,陕西旅游,消费|白酒|食品饮料|家电
20260102,纺织服装,8.7,观察,000045,深纺织Ａ,纺织|服装|品牌服饰|家纺
20260102,纺织服装,8.7,观察,600493,凤竹纺织,纺织|服装|品牌服饰|家纺
20260102,纺织服装,8.7,观察,603365,水星家纺,纺织|服装|品牌服饰|家纺
20260102,军工,8.7,观察,002151,北斗星通,军工|国防|航空发动机|卫星
20260102,军工,8.7,观察,002648,卫星化学,军工|国防|航空发动机|卫星
20260102,军工,8.7,观察,600118,中国卫星,军工|国防|航空发动机|卫星
20260102,军工,8.7,观察,600150,中国船舶,军工|国防|航空发动机|卫星
20260102,军工,8.7,观察,601606,长城军工,军工|国防|航空发动机|卫星
20260102,军工,8.7,观察,688543,国科军工,军工|国防|航空发动机|卫星
20260102,建筑建材,8.7,观察,000786,北新建材,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,600449,宁夏建材,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,600585,海螺水泥,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,600660,福耀玻璃,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,600801,华新建材,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,600802,福建水泥,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,600819,耀皮玻璃,建筑|建材|水泥|玻璃
20260102,建筑建材,8.7,观察,601668,中国建筑,建筑|建材|水泥|玻璃
20260102,石油石化,8.7,观察,000554,泰山石油,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,000703,恒逸石化,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,000852,石化机械,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,002267,陕天然气,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,002493,荣盛石化,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,300164,通源石油,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,600028,中国石化,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,600346,恒力石化,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,600688,上海石化,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,600871,石化油服,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,601857,中国石油,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,603353,和顺石油,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,603393,新天然气,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,603619,中曼石油,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,603689,皖天然气,石油|石化|天然气|油气
20260102,石油石化,8.7,观察,688669,聚石化学,石油|石化|天然气|油气
20260102,电力,8.7,观察,000537,绿发电力,电力|火电|水电|核电
20260102,电力,8.7,观察,000539,粤电力Ａ,电力|火电|水电|核电
20260102,电力,8.7,观察,000543,皖能电力,电力|火电|水电|核电
20260102,电力,8.7,观察,000561,烽火电子,电力|火电|水电|核电
20260102,电力,8.7,观察,000767,晋控电力,电力|火电|水电|核电
20260102,电力,8.7,观察,000966,长源电力,电力|火电|水电|核电
20260102,电力,8.7,观察,000993,闽东电力,电力|火电|水电|核电
20260102,电力,8.7,观察,001289,龙源电力,电力|火电|水电|核电
20260102,电力,8.7,观察,002039,黔源电力,电力|火电|水电|核电
