日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260410,教育,6.0,观察,000526,学大教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,002607,中公教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,002659,凯文教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,003032,传智教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,300192,科德教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,300359,全通教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,300559,佳发教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,600661,昂立教育,教育|职业教育|培训|教育信息化
20260410,教育,6.0,观察,605098,行动教育,教育|职业教育|培训|教育信息化
20260410,军工,5.0,观察,002151,北斗星通,军工|国防|航空发动机|卫星
20260410,军工,5.0,观察,002648,卫星化学,军工|国防|航空发动机|卫星
20260410,军工,5.0,观察,600118,中国卫星,军工|国防|航空发动机|卫星
20260410,军工,5.0,观察,600150,中国船舶,军工|国防|航空发动机|卫星
20260410,军工,5.0,观察,601606,长城军工,军工|国防|航空发动机|卫星
20260410,军工,5.0,观察,688543,国科军工,军工|国防|航空发动机|卫星
20260410,物流,4.0,观察,000520,凤凰航运,物流|快递|航运|港口
20260410,物流,4.0,观察,001872,招商港口,物流|快递|航运|港口
20260410,物流,4.0,观察,002468,申通快递,物流|快递|航运|港口
20260410,物流,4.0,观察,300013,新宁物流,物流|快递|航运|港口
20260410,物流,4.0,观察,600125,铁龙物流,物流|快递|航运|港口
20260410,物流,4.0,观察,600603,广汇物流,物流|快递|航运|港口
20260410,物流,4.0,观察,601083,锦江航运,物流|快递|航运|港口
20260410,物流,4.0,观察,601156,东航物流,物流|快递|航运|港口
20260410,物流,4.0,观察,603117,万林物流,物流|快递|航运|港口
20260410,物流,4.0,观察,603128,华贸物流,物流|快递|航运|港口
20260410,物流,4.0,观察,603565,中谷物流,物流|快递|航运|港口
20260410,物流,4.0,观察,603569,长久物流,物流|快递|航运|港口
20260410,物流,4.0,观察,603967,中创物流,物流|快递|航运|港口
20260410,消费,4.0,观察,000921,海信家电,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,000978,桂林旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,002059,云南旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,002627,三峡旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,002707,众信旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,300859,西域旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,600054,黄山旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,600749,西藏旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,603199,九华旅游,消费|白酒|食品饮料|家电
20260410,消费,4.0,观察,603402,陕西旅游,消费|白酒|食品饮料|家电
