策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
boll,20260401,600900,长江电力,2026-04-02,2026-04-09,26.9,26.39,26.9134,26.3768,5,-1.994,-2.151,0.157,-1.896
boll,20260401,600886,国投电力,2026-04-02,2026-04-09,14.2,13.46,14.2071,13.4533,5,-5.306,-5.457,0.151,-5.282
theme,20260401,600741,华域汽车,2026-04-02,2026-04-09,19.82,20.56,19.8299,20.5497,5,3.63,3.464,0.166,0.0
boll,20260402,002158,汉钟精机,2026-04-03,2026-04-10,21.86,24.53,21.8709,24.5177,5,12.102,11.923,0.179,-0.274
boll,20260402,600085,同仁堂,2026-04-03,2026-04-10,28.12,27.8,28.1341,27.7861,5,-1.237,-1.395,0.158,-1.956
boll,20260406,001286,陕西能源,2026-04-07,2026-04-13,10.85,11.09,10.8554,11.0845,5,2.11,1.946,0.163,0.0
boll,20260406,600886,国投电力,2026-04-07,2026-04-13,13.82,13.29,13.8269,13.2834,5,-3.931,-4.085,0.154,-3.835
boll,20260406,600546,山煤国际,2026-04-07,2026-04-13,11.0,11.73,11.0055,11.7241,5,6.53,6.359,0.17,0.0
boll,20260406,600348,华阳股份,2026-04-07,2026-04-13,9.45,9.18,9.4547,9.1754,5,-2.954,-3.109,0.155,-4.233
boll,20260406,001311,多利科技,2026-04-07,2026-04-13,30.39,31.76,30.4052,31.7441,5,4.404,4.237,0.167,-1.448
boll,20260406,603848,好太太,2026-04-07,2026-04-13,14.84,15.34,14.8474,15.3323,5,3.266,3.101,0.165,0.0
boll,20260406,603013,亚普股份,2026-04-07,2026-04-13,18.35,18.7,18.3592,18.6907,5,1.806,1.643,0.163,-1.526
boll,20260406,002301,齐心集团,2026-04-07,2026-04-13,6.75,6.83,6.7534,6.8266,5,1.084,0.922,0.162,0.0
boll,20260406,002073,软控股份,2026-04-07,2026-04-13,6.82,7.08,6.8234,7.0765,5,3.709,3.543,0.166,0.0
boll,20260406,002043,兔 宝 宝,2026-04-07,2026-04-13,14.0,13.97,14.007,13.963,5,-0.314,-0.473,0.159,-1.5
theme,20260407,603042,华脉科技,2026-04-08,2026-04-14,22.59,21.86,22.6013,21.8491,5,-3.328,-3.483,0.155,-3.232
theme,20260407,601208,东材科技,2026-04-08,2026-04-14,33.55,34.02,33.5668,34.003,5,1.3,1.138,0.162,-0.626
theme,20260407,603227,雪峰科技,2026-04-08,2026-04-14,9.97,10.13,9.975,10.1249,5,1.503,1.341,0.162,0.0
boll,20260408,603619,中曼石油,2026-04-09,2026-04-15,33.91,34.84,33.927,34.8226,5,2.64,2.476,0.164,0.0
boll,20260408,601225,陕西煤业,2026-04-09,2026-04-15,25.34,25.16,25.3527,25.1474,5,-0.81,-0.968,0.159,-1.302
boll,20260408,600985,淮北矿业,2026-04-09,2026-04-15,13.41,13.73,13.4167,13.7231,5,2.284,2.12,0.164,-0.969
boll,20260408,600188,兖矿能源,2026-04-09,2026-04-15,18.94,19.19,18.9495,19.1804,5,1.219,1.057,0.162,0.0
boll,20260408,601101,昊华能源,2026-04-09,2026-04-15,8.32,8.23,8.3242,8.2259,5,-1.181,-1.339,0.158,-1.082
theme,20260408,603042,华脉科技,2026-04-09,2026-04-15,21.99,21.45,22.001,21.4393,5,-2.553,-2.709,0.156,-2.456
theme,20260408,600602,云赛智联,2026-04-09,2026-04-15,24.33,23.9,24.3422,23.888,5,-1.866,-2.023,0.157,-1.767
theme,20260408,600713,南京医药,2026-04-09,2026-04-15,5.6,6.4,5.6028,6.3968,5,14.171,13.989,0.183,-1.786
theme,20260408,603002,宏昌电子,2026-04-09,2026-04-15,10.81,12.88,10.8154,12.8736,5,19.03,18.839,0.19,0.0
theme,20260408,603039,泛微网络,2026-04-09,2026-04-15,46.5,43.4,46.5232,43.3783,5,-6.76,-6.909,0.149,-6.667
theme,20260408,600056,中国医药,2026-04-09,2026-04-15,10.89,11.15,10.8954,11.1444,5,2.285,2.122,0.164,-2.755
theme,20260408,603275,众辰科技,2026-04-09,2026-04-15,45.1,46.41,45.1225,46.3868,5,2.802,2.637,0.164,-3.06
theme,20260408,600594,益佰制药,2026-04-09,2026-04-15,4.61,4.76,4.6123,4.7576,5,3.151,2.986,0.165,-6.074
theme,20260408,603203,快克智能,2026-04-09,2026-04-15,41.88,43.09,41.9009,43.0685,5,2.786,2.622,0.164,0.0
theme,20260408,603248,锡华科技,2026-04-09,2026-04-15,30.02,27.27,30.035,27.2564,5,-9.251,-9.397,0.145,-10.193
