日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260423,军工,4.4,观察,002036,联创电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002052,同洲电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002119,康强电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002121,科陆电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002138,顺络电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002197,证通电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002339,积成电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002389,航天彩虹,军工|航天|船舶|电子
20260423,军工,4.4,观察,002519,银河电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002546,新联电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002579,中京电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002587,奥拓电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002767,先锋电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,002935,天奥电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,003031,中瓷电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300270,中威电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300327,中颖电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300446,航天智造,军工|航天|船舶|电子
20260423,军工,4.4,观察,300455,航天智装,军工|航天|船舶|电子
20260423,军工,4.4,观察,300456,赛微电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300479,神思电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300567,精测电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300585,奥联电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300656,民德电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300657,弘信电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300666,江丰电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300726,宏达电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300975,商络电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,300976,达瑞电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301099,雅创电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301107,瑜欣电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301121,紫建电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301123,奕东电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301189,奥尼电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301278,快可电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301282,金禄电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301328,维峰电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301329,信音电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301337,亚华电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301348,蓝箭电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301359,东南电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301379,天山电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301389,隆扬电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301458,钧崴电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,301682,宏明电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600150,中国船舶,军工|航天|船舶|电子
20260423,军工,4.4,观察,600151,航天机电,军工|航天|船舶|电子
20260423,军工,4.4,观察,600203,福日电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600237,铜峰电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600271,航天信息,军工|航天|船舶|电子
20260423,军工,4.4,观察,600343,航天动力,军工|航天|船舶|电子
20260423,军工,4.4,观察,600353,旭光电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600501,航天晨光,军工|航天|船舶|电子
20260423,军工,4.4,观察,600563,法拉电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600570,恒生电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600658,电子城,军工|航天|船舶|电子
20260423,军工,4.4,观察,600699,均胜电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600855,航天长峰,军工|航天|船舶|电子
20260423,军工,4.4,观察,600879,航天电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,600990,四创电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,601231,环旭电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,601606,长城军工,军工|航天|船舶|电子
20260423,军工,4.4,观察,603002,宏昌电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603175,超颖电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603228,景旺电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603267,鸿远电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603286,日盈电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603328,依顿电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603376,大明电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603629,利通电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603678,火炬电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603698,航天工程,军工|航天|船舶|电子
20260423,军工,4.4,观察,603890,春秋电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,603936,博敏电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,605058,澳弘电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,605218,伟时电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,605258,协和电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,605277,新亚电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688066,航天宏图,军工|航天|船舶|电子
20260423,军工,4.4,观察,688103,国力电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688183,生益电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688188,柏楚电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688206,概伦电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688311,盟升电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688362,甬矽电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688375,国博电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688511,天微电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688523,航天环宇,军工|航天|船舶|电子
20260423,军工,4.4,观察,688533,上声电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688543,国科军工,军工|航天|船舶|电子
20260423,军工,4.4,观察,688545,兴福电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688552,航天南湖,军工|航天|船舶|电子
20260423,军工,4.4,观察,688562,航天软件,军工|航天|船舶|电子
20260423,军工,4.4,观察,688699,明微电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,688798,艾为电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,920181,赛英电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,920212,智新电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,920346,威贸电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,920509,同惠电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,920642,通易航天,军工|航天|船舶|电子
20260423,军工,4.4,观察,920701,豪声电子,军工|航天|船舶|电子
20260423,军工,4.4,观察,920821,则成电子,军工|航天|船舶|电子
20260423,低空经济,0.20000000000000018,观察,000547,航天发展,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,000901,航天科技,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,002025,航天电器,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,002389,航天彩虹,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,002928,华夏航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,300446,航天智造,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,300455,航天智装,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,300581,晨曦航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,300900,广联航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600029,南方航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600151,航天机电,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600271,航天信息,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600316,洪都航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600343,航天动力,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600501,航天晨光,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600855,航天长峰,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,600879,航天电子,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,601021,春秋航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,603698,航天工程,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,603885,吉祥航空,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,688066,航天宏图,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,688297,中无人机,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,688523,航天环宇,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,688552,航天南湖,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,688562,航天软件,无人机|航空|航天|飞行
20260423,低空经济,0.20000000000000018,观察,920642,通易航天,无人机|航空|航天|飞行
