股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600012,皖通高速,0.9444444444444444,0.84,61,36,25,37,23
601928,凤凰传媒,0.9722222222222222,0.8,61,36,25,30,27
600461,洪城环境,0.9722222222222222,0.8,61,36,25,33,27
600887,伊利股份,0.9444444444444444,0.8,61,36,25,38,20
600085,同仁堂,1.0,0.76,61,36,25,29,29
601006,大秦铁路,1.0,0.76,61,36,25,33,24
601098,中南传媒,1.0,0.76,61,36,25,35,24
002003,伟星股份,0.9722222222222222,0.76,61,36,25,33,26
601985,中国核电,1.0,0.72,61,36,25,31,29
